id,name,description,status,start_date,end_date,created_at
1,科研工效分析平台,科研工效分析平台用于支持实验室数字化管理和数据分析。,planning,2025-11-01,,2025-11-01 09:00:00
2,设备使用监控系统,设备使用监控系统用于支持实验室数字化管理和数据分析。,active,2025-11-13,,2025-11-13 09:00:00
3,智能考勤分析系统,智能考勤分析系统用于支持实验室数字化管理和数据分析。,active,2025-11-25,,2025-11-25 09:00:00
4,项目进度管理平台,项目进度管理平台用于支持实验室数字化管理和数据分析。,active,2025-12-07,,2025-12-07 09:00:00
5,会议纪要结构化系统,会议纪要结构化系统用于支持实验室数字化管理和数据分析。,completed,2025-12-19,2026-03-19,2025-12-19 09:00:00
6,数据质量监控平台,数据质量监控平台用于支持实验室数字化管理和数据分析。,paused,2025-12-31,,2025-12-31 09:00:00
7,实验室资源调度系统,实验室资源调度系统用于支持实验室数字化管理和数据分析。,planning,2026-01-12,,2026-01-12 09:00:00
8,任务协同分析平台,任务协同分析平台用于支持实验室数字化管理和数据分析。,active,2026-01-24,,2026-01-24 09:00:00
9,知识库问答系统,知识库问答系统用于支持实验室数字化管理和数据分析。,active,2026-02-05,,2026-02-05 09:00:00
10,实时消息推送平台,实时消息推送平台用于支持实验室数字化管理和数据分析。,active,2026-02-17,,2026-02-17 09:00:00
11,用户行为分析系统,用户行为分析系统用于支持实验室数字化管理和数据分析。,completed,2026-03-01,2026-05-30,2026-03-01 09:00:00
12,数据查询 Agent 平台,数据查询 Agent 平台用于支持实验室数字化管理和数据分析。,paused,2026-03-13,,2026-03-13 09:00:00
