id,user_id,work_date,check_in_time,check_out_time,work_hours,status,created_at
1,1,2026-01-01,2026-01-01 09:30:00,2026-01-01 19:48:00,10.31,overtime,2026-01-01 20:00:00
2,2,2026-01-01,2026-01-01 09:42:00,2026-01-01 17:46:00,8.06,normal,2026-01-01 20:00:00
3,3,2026-01-01,2026-01-01 09:35:00,2026-01-01 17:18:00,7.72,normal,2026-01-01 20:00:00
4,4,2026-01-01,2026-01-01 09:01:00,2026-01-01 16:09:00,7.13,normal,2026-01-01 20:00:00
5,5,2026-01-01,2026-01-01 09:18:00,2026-01-01 17:46:00,8.46,normal,2026-01-01 20:00:00
6,6,2026-01-01,2026-01-01 09:03:00,2026-01-01 16:20:00,7.29,normal,2026-01-01 20:00:00
7,7,2026-01-01,2026-01-01 09:36:00,2026-01-01 16:44:00,7.13,normal,2026-01-01 20:00:00
8,8,2026-01-01,2026-01-01 09:26:00,2026-01-01 17:39:00,8.22,normal,2026-01-01 20:00:00
9,9,2026-01-01,2026-01-01 09:23:00,2026-01-01 16:29:00,7.11,normal,2026-01-01 20:00:00
10,10,2026-01-01,2026-01-01 09:34:00,2026-01-01 17:26:00,7.86,normal,2026-01-01 20:00:00
11,11,2026-01-01,2026-01-01 09:25:00,2026-01-01 17:50:00,8.42,normal,2026-01-01 20:00:00
12,12,2026-01-01,2026-01-01 09:16:00,2026-01-01 17:29:00,8.21,normal,2026-01-01 20:00:00
13,13,2026-01-01,2026-01-01 09:11:00,2026-01-01 17:41:00,8.5,normal,2026-01-01 20:00:00
14,14,2026-01-01,2026-01-01 09:32:00,2026-01-01 18:27:00,8.92,normal,2026-01-01 20:00:00
15,15,2026-01-01,2026-01-01 09:10:00,2026-01-01 17:32:00,8.36,normal,2026-01-01 20:00:00
16,16,2026-01-01,2026-01-01 09:39:00,2026-01-01 18:31:00,8.87,normal,2026-01-01 20:00:00
17,17,2026-01-01,2026-01-01 09:40:00,2026-01-01 16:40:00,7,normal,2026-01-01 20:00:00
18,18,2026-01-01,2026-01-01 09:11:00,2026-01-01 16:25:00,7.24,normal,2026-01-01 20:00:00
19,19,2026-01-01,2026-01-01 09:00:00,2026-01-01 16:31:00,7.52,normal,2026-01-01 20:00:00
20,20,2026-01-01,2026-01-01 09:17:00,2026-01-01 17:22:00,8.09,normal,2026-01-01 20:00:00
21,21,2026-01-01,2026-01-01 09:04:00,2026-01-01 16:38:00,7.56,normal,2026-01-01 20:00:00
22,22,2026-01-01,2026-01-01 09:33:00,2026-01-01 16:37:00,7.06,normal,2026-01-01 20:00:00
23,23,2026-01-01,2026-01-01 09:31:00,2026-01-01 17:37:00,8.1,normal,2026-01-01 20:00:00
24,24,2026-01-01,2026-01-01 09:33:00,2026-01-01 17:49:00,8.26,normal,2026-01-01 20:00:00
25,25,2026-01-01,2026-01-01 09:24:00,2026-01-01 18:13:00,8.81,normal,2026-01-01 20:00:00
26,26,2026-01-01,2026-01-01 09:31:00,2026-01-01 17:12:00,7.68,normal,2026-01-01 20:00:00
27,27,2026-01-01,2026-01-01 09:25:00,2026-01-01 18:18:00,8.88,normal,2026-01-01 20:00:00
28,28,2026-01-01,2026-01-01 09:44:00,2026-01-01 18:12:00,8.46,normal,2026-01-01 20:00:00
29,29,2026-01-01,2026-01-01 09:15:00,2026-01-01 17:32:00,8.28,normal,2026-01-01 20:00:00
30,30,2026-01-01,2026-01-01 09:42:00,2026-01-01 17:23:00,7.68,normal,2026-01-01 20:00:00
31,31,2026-01-01,2026-01-01 09:11:00,2026-01-01 17:37:00,8.44,normal,2026-01-01 20:00:00
32,32,2026-01-01,2026-01-01 09:16:00,2026-01-01 16:51:00,7.59,normal,2026-01-01 20:00:00
33,33,2026-01-01,2026-01-01 09:05:00,2026-01-01 17:15:00,8.16,normal,2026-01-01 20:00:00
34,34,2026-01-01,2026-01-01 09:01:00,2026-01-01 17:55:00,8.9,normal,2026-01-01 20:00:00
35,35,2026-01-01,2026-01-01 09:17:00,2026-01-01 17:32:00,8.25,normal,2026-01-01 20:00:00
36,36,2026-01-01,2026-01-01 09:29:00,2026-01-01 17:17:00,7.8,normal,2026-01-01 20:00:00
37,37,2026-01-01,2026-01-01 09:13:00,2026-01-01 17:36:00,8.38,normal,2026-01-01 20:00:00
38,38,2026-01-01,2026-01-01 09:10:00,2026-01-01 16:27:00,7.28,late,2026-01-01 20:00:00
39,39,2026-01-01,2026-01-01 09:38:00,2026-01-01 17:29:00,7.85,normal,2026-01-01 20:00:00
40,40,2026-01-01,2026-01-01 09:09:00,2026-01-01 16:53:00,7.74,normal,2026-01-01 20:00:00
41,41,2026-01-01,2026-01-01 09:35:00,2026-01-01 17:30:00,7.91,normal,2026-01-01 20:00:00
42,42,2026-01-01,2026-01-01 09:11:00,2026-01-01 16:50:00,7.65,normal,2026-01-01 20:00:00
43,43,2026-01-01,2026-01-01 09:03:00,2026-01-01 17:06:00,8.04,normal,2026-01-01 20:00:00
44,44,2026-01-01,2026-01-01 09:04:00,2026-01-01 16:23:00,7.32,normal,2026-01-01 20:00:00
45,45,2026-01-01,2026-01-01 09:22:00,2026-01-01 17:33:00,8.19,normal,2026-01-01 20:00:00
46,46,2026-01-01,2026-01-01 09:31:00,2026-01-01 18:07:00,8.59,normal,2026-01-01 20:00:00
47,47,2026-01-01,2026-01-01 09:36:00,2026-01-01 17:42:00,8.1,normal,2026-01-01 20:00:00
48,48,2026-01-01,2026-01-01 09:42:00,2026-01-01 17:24:00,7.7,normal,2026-01-01 20:00:00
49,49,2026-01-01,2026-01-01 09:25:00,2026-01-01 17:35:00,8.17,normal,2026-01-01 20:00:00
50,50,2026-01-01,2026-01-01 09:31:00,2026-01-01 17:44:00,8.22,normal,2026-01-01 20:00:00
51,51,2026-01-01,2026-01-01 09:18:00,2026-01-01 17:43:00,8.42,normal,2026-01-01 20:00:00
52,52,2026-01-01,2026-01-01 09:26:00,2026-01-01 17:42:00,8.26,normal,2026-01-01 20:00:00
53,53,2026-01-01,2026-01-01 09:38:00,2026-01-01 17:21:00,7.71,normal,2026-01-01 20:00:00
54,54,2026-01-01,2026-01-01 09:30:00,2026-01-01 17:40:00,8.16,normal,2026-01-01 20:00:00
55,55,2026-01-01,2026-01-01 09:38:00,2026-01-01 17:09:00,7.51,normal,2026-01-01 20:00:00
56,56,2026-01-01,2026-01-01 09:29:00,2026-01-01 15:44:00,6.26,late,2026-01-01 20:00:00
57,57,2026-01-01,2026-01-01 09:40:00,2026-01-01 17:33:00,7.89,normal,2026-01-01 20:00:00
58,58,2026-01-01,2026-01-01 09:28:00,2026-01-01 17:14:00,7.77,normal,2026-01-01 20:00:00
59,59,2026-01-01,2026-01-01 09:43:00,2026-01-01 17:20:00,7.62,normal,2026-01-01 20:00:00
60,60,2026-01-01,2026-01-01 09:13:00,2026-01-01 17:32:00,8.32,normal,2026-01-01 20:00:00
61,1,2026-01-02,2026-01-02 09:18:00,2026-01-02 16:19:00,7.02,normal,2026-01-02 20:00:00
62,2,2026-01-02,2026-01-02 09:34:00,2026-01-02 18:32:00,8.97,normal,2026-01-02 20:00:00
63,3,2026-01-02,2026-01-02 09:35:00,2026-01-02 17:39:00,8.07,normal,2026-01-02 20:00:00
64,4,2026-01-02,2026-01-02 09:38:00,2026-01-02 18:06:00,8.46,normal,2026-01-02 20:00:00
65,5,2026-01-02,2026-01-02 09:33:00,2026-01-02 16:48:00,7.26,normal,2026-01-02 20:00:00
66,6,2026-01-02,2026-01-02 09:16:00,2026-01-02 17:18:00,8.03,normal,2026-01-02 20:00:00
67,7,2026-01-02,2026-01-02 09:13:00,2026-01-02 16:21:00,7.14,normal,2026-01-02 20:00:00
