id,project_id,assignee_id,title,status,priority,estimated_hours,actual_hours,due_date,completed_at,created_at
1,10,45,实时消息推送平台-需求梳理-1,done,urgent,13.71,11.53,2026-06-25,2026-06-21,2026-06-16 09:00:00
2,1,59,科研工效分析平台-指标看板-2,blocked,urgent,24.84,8.23,2025-12-09,,2025-12-05 09:00:00
3,5,52,会议纪要结构化系统-接口开发-3,todo,low,10.83,1.25,2026-01-12,,2025-12-21 09:00:00
4,10,35,实时消息推送平台-权限控制-4,blocked,medium,6.4,0.5,2026-03-22,,2026-03-08 09:00:00
5,12,48,数据查询 Agent 平台-模型评估-5,blocked,medium,26.94,16.01,2026-04-19,,2026-04-16 09:00:00
6,6,42,数据质量监控平台-页面联调-6,in_progress,low,30.29,4.79,2026-04-20,,2026-04-01 09:00:00
7,2,53,设备使用监控系统-权限控制-7,review,low,8.63,3.56,2026-02-17,,2026-01-29 09:00:00
8,8,11,任务协同分析平台-指标看板-8,blocked,high,3.77,1.99,2026-05-11,,2026-05-08 09:00:00
9,4,11,项目进度管理平台-需求梳理-9,todo,high,16.55,3.27,2026-04-12,,2026-04-03 09:00:00
10,7,28,实验室资源调度系统-页面联调-10,blocked,medium,9.56,2.93,2026-03-08,,2026-02-14 09:00:00
11,2,7,设备使用监控系统-部署配置-11,review,high,8.32,3.39,2026-02-20,,2026-02-09 09:00:00
12,4,49,项目进度管理平台-指标看板-12,in_progress,urgent,20.89,4.46,2026-02-20,,2026-02-06 09:00:00
13,1,10,科研工效分析平台-需求梳理-13,blocked,urgent,20.95,19.86,2025-12-09,,2025-11-19 09:00:00
14,6,58,数据质量监控平台-需求梳理-14,review,urgent,7.84,3.69,2026-02-06,,2026-01-13 09:00:00
15,2,26,设备使用监控系统-模型评估-15,done,urgent,6.53,7.72,2025-12-09,2025-12-07,2025-11-15 09:00:00
16,8,55,任务协同分析平台-测试用例-16,todo,urgent,3.55,1.66,2026-05-29,,2026-05-02 09:00:00
17,4,35,项目进度管理平台-需求梳理-17,todo,low,4.64,3.59,2026-03-24,,2026-03-21 09:00:00
