id,project_id,title,meeting_date,duration_minutes,summary,created_at
1,3,智能考勤分析系统第1次项目会议,2026-02-09 09:00:00,45,讨论智能考勤分析系统当前进展、风险和下一步任务安排。,2026-02-09 09:00:00
2,3,智能考勤分析系统第2次项目会议,2025-12-25 09:45:00,60,讨论智能考勤分析系统当前进展、风险和下一步任务安排。,2025-12-25 09:45:00
3,9,知识库问答系统第3次项目会议,2026-04-21 15:45:00,60,讨论知识库问答系统当前进展、风险和下一步任务安排。,2026-04-21 15:45:00
4,11,用户行为分析系统第4次项目会议,2026-06-07 13:15:00,90,讨论用户行为分析系统当前进展、风险和下一步任务安排。,2026-06-07 13:15:00
5,4,项目进度管理平台第5次项目会议,2026-01-15 10:15:00,60,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2026-01-15 10:15:00
6,4,项目进度管理平台第6次项目会议,2026-03-02 14:30:00,90,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2026-03-02 14:30:00
7,7,实验室资源调度系统第7次项目会议,2026-02-04 11:45:00,45,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-02-04 11:45:00
8,2,设备使用监控系统第8次项目会议,2026-01-11 10:30:00,45,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2026-01-11 10:30:00
9,11,用户行为分析系统第9次项目会议,2026-06-03 13:15:00,30,讨论用户行为分析系统当前进展、风险和下一步任务安排。,2026-06-03 13:15:00
10,3,智能考勤分析系统第10次项目会议,2026-03-02 13:00:00,60,讨论智能考勤分析系统当前进展、风险和下一步任务安排。,2026-03-02 13:00:00
11,11,用户行为分析系统第11次项目会议,2026-07-11 12:00:00,45,讨论用户行为分析系统当前进展、风险和下一步任务安排。,2026-07-11 12:00:00
12,2,设备使用监控系统第12次项目会议,2025-12-06 11:00:00,90,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2025-12-06 11:00:00
13,7,实验室资源调度系统第13次项目会议,2026-03-15 12:45:00,45,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-03-15 12:45:00
14,9,知识库问答系统第14次项目会议,2026-06-22 15:15:00,90,讨论知识库问答系统当前进展、风险和下一步任务安排。,2026-06-22 15:15:00
15,9,知识库问答系统第15次项目会议,2026-06-07 10:00:00,30,讨论知识库问答系统当前进展、风险和下一步任务安排。,2026-06-07 10:00:00
16,7,实验室资源调度系统第16次项目会议,2026-01-17 09:45:00,120,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-01-17 09:45:00
17,7,实验室资源调度系统第17次项目会议,2026-02-11 10:00:00,120,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-02-11 10:00:00
18,6,数据质量监控平台第18次项目会议,2026-05-15 16:45:00,30,讨论数据质量监控平台当前进展、风险和下一步任务安排。,2026-05-15 16:45:00
19,9,知识库问答系统第19次项目会议,2026-04-30 09:30:00,30,讨论知识库问答系统当前进展、风险和下一步任务安排。,2026-04-30 09:30:00
20,12,数据查询 Agent 平台第20次项目会议,2026-04-17 10:15:00,30,讨论数据查询 Agent 平台当前进展、风险和下一步任务安排。,2026-04-17 10:15:00
21,2,设备使用监控系统第21次项目会议,2026-01-14 16:30:00,90,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2026-01-14 16:30:00
22,9,知识库问答系统第22次项目会议,2026-04-21 09:00:00,45,讨论知识库问答系统当前进展、风险和下一步任务安排。,2026-04-21 09:00:00
23,7,实验室资源调度系统第23次项目会议,2026-03-02 11:15:00,45,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-03-02 11:15:00
24,7,实验室资源调度系统第24次项目会议,2026-04-25 12:00:00,30,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-04-25 12:00:00
25,10,实时消息推送平台第25次项目会议,2026-03-12 15:30:00,45,讨论实时消息推送平台当前进展、风险和下一步任务安排。,2026-03-12 15:30:00
26,2,设备使用监控系统第26次项目会议,2026-02-15 13:45:00,30,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2026-02-15 13:45:00
27,12,数据查询 Agent 平台第27次项目会议,2026-06-14 12:15:00,45,讨论数据查询 Agent 平台当前进展、风险和下一步任务安排。,2026-06-14 12:15:00
28,11,用户行为分析系统第28次项目会议,2026-03-17 13:45:00,30,讨论用户行为分析系统当前进展、风险和下一步任务安排。,2026-03-17 13:45:00
29,7,实验室资源调度系统第29次项目会议,2026-04-07 11:45:00,60,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-04-07 11:45:00
30,4,项目进度管理平台第30次项目会议,2026-01-22 10:00:00,90,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2026-01-22 10:00:00
31,7,实验室资源调度系统第31次项目会议,2026-05-29 10:15:00,45,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-05-29 10:15:00
32,7,实验室资源调度系统第32次项目会议,2026-02-01 12:00:00,90,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-02-01 12:00:00
33,6,数据质量监控平台第33次项目会议,2026-04-03 09:15:00,60,讨论数据质量监控平台当前进展、风险和下一步任务安排。,2026-04-03 09:15:00
34,3,智能考勤分析系统第34次项目会议,2025-12-13 14:00:00,30,讨论智能考勤分析系统当前进展、风险和下一步任务安排。,2025-12-13 14:00:00
35,6,数据质量监控平台第35次项目会议,2026-05-05 13:00:00,45,讨论数据质量监控平台当前进展、风险和下一步任务安排。,2026-05-05 13:00:00
36,10,实时消息推送平台第36次项目会议,2026-03-12 12:15:00,30,讨论实时消息推送平台当前进展、风险和下一步任务安排。,2026-03-12 12:15:00
37,12,数据查询 Agent 平台第37次项目会议,2026-06-10 14:15:00,120,讨论数据查询 Agent 平台当前进展、风险和下一步任务安排。,2026-06-10 14:15:00
38,8,任务协同分析平台第38次项目会议,2026-05-11 16:15:00,60,讨论任务协同分析平台当前进展、风险和下一步任务安排。,2026-05-11 16:15:00
39,9,知识库问答系统第39次项目会议,2026-05-20 11:00:00,30,讨论知识库问答系统当前进展、风险和下一步任务安排。,2026-05-20 11:00:00
40,1,科研工效分析平台第40次项目会议,2026-03-25 14:00:00,120,讨论科研工效分析平台当前进展、风险和下一步任务安排。,2026-03-25 14:00:00
41,1,科研工效分析平台第41次项目会议,2026-02-03 12:30:00,120,讨论科研工效分析平台当前进展、风险和下一步任务安排。,2026-02-03 12:30:00
42,4,项目进度管理平台第42次项目会议,2026-03-03 14:15:00,120,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2026-03-03 14:15:00
43,9,知识库问答系统第43次项目会议,2026-04-15 14:15:00,120,讨论知识库问答系统当前进展、风险和下一步任务安排。,2026-04-15 14:15:00
44,2,设备使用监控系统第44次项目会议,2026-01-22 16:00:00,120,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2026-01-22 16:00:00
45,4,项目进度管理平台第45次项目会议,2025-12-24 16:00:00,90,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2025-12-24 16:00:00
46,10,实时消息推送平台第46次项目会议,2026-04-29 13:00:00,90,讨论实时消息推送平台当前进展、风险和下一步任务安排。,2026-04-29 13:00:00
47,6,数据质量监控平台第47次项目会议,2026-03-14 16:45:00,45,讨论数据质量监控平台当前进展、风险和下一步任务安排。,2026-03-14 16:45:00
48,2,设备使用监控系统第48次项目会议,2026-04-08 09:00:00,30,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2026-04-08 09:00:00
49,1,科研工效分析平台第49次项目会议,2026-03-12 15:15:00,45,讨论科研工效分析平台当前进展、风险和下一步任务安排。,2026-03-12 15:15:00
50,6,数据质量监控平台第50次项目会议,2026-01-30 15:15:00,30,讨论数据质量监控平台当前进展、风险和下一步任务安排。,2026-01-30 15:15:00
51,12,数据查询 Agent 平台第51次项目会议,2026-06-08 16:30:00,45,讨论数据查询 Agent 平台当前进展、风险和下一步任务安排。,2026-06-08 16:30:00
52,3,智能考勤分析系统第52次项目会议,2026-03-18 13:45:00,120,讨论智能考勤分析系统当前进展、风险和下一步任务安排。,2026-03-18 13:45:00
53,11,用户行为分析系统第53次项目会议,2026-04-04 11:15:00,90,讨论用户行为分析系统当前进展、风险和下一步任务安排。,2026-04-04 11:15:00
54,3,智能考勤分析系统第54次项目会议,2026-02-05 10:45:00,30,讨论智能考勤分析系统当前进展、风险和下一步任务安排。,2026-02-05 10:45:00
55,6,数据质量监控平台第55次项目会议,2026-02-01 10:00:00,90,讨论数据质量监控平台当前进展、风险和下一步任务安排。,2026-02-01 10:00:00
56,2,设备使用监控系统第56次项目会议,2025-11-17 11:30:00,90,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2025-11-17 11:30:00
57,4,项目进度管理平台第57次项目会议,2026-03-04 15:00:00,30,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2026-03-04 15:00:00
58,5,会议纪要结构化系统第58次项目会议,2026-01-15 15:45:00,60,讨论会议纪要结构化系统当前进展、风险和下一步任务安排。,2026-01-15 15:45:00
59,4,项目进度管理平台第59次项目会议,2025-12-11 10:15:00,45,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2025-12-11 10:15:00
60,2,设备使用监控系统第60次项目会议,2026-01-28 10:30:00,90,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2026-01-28 10:30:00
61,9,知识库问答系统第61次项目会议,2026-02-18 11:15:00,90,讨论知识库问答系统当前进展、风险和下一步任务安排。,2026-02-18 11:15:00
62,1,科研工效分析平台第62次项目会议,2025-12-20 15:00:00,120,讨论科研工效分析平台当前进展、风险和下一步任务安排。,2025-12-20 15:00:00
63,3,智能考勤分析系统第63次项目会议,2026-03-31 13:00:00,45,讨论智能考勤分析系统当前进展、风险和下一步任务安排。,2026-03-31 13:00:00
64,12,数据查询 Agent 平台第64次项目会议,2026-03-28 14:45:00,60,讨论数据查询 Agent 平台当前进展、风险和下一步任务安排。,2026-03-28 14:45:00
65,11,用户行为分析系统第65次项目会议,2026-04-27 09:30:00,45,讨论用户行为分析系统当前进展、风险和下一步任务安排。,2026-04-27 09:30:00
66,6,数据质量监控平台第66次项目会议,2026-02-24 11:00:00,90,讨论数据质量监控平台当前进展、风险和下一步任务安排。,2026-02-24 11:00:00
67,10,实时消息推送平台第67次项目会议,2026-06-27 15:30:00,30,讨论实时消息推送平台当前进展、风险和下一步任务安排。,2026-06-27 15:30:00
68,1,科研工效分析平台第68次项目会议,2026-01-16 16:45:00,60,讨论科研工效分析平台当前进展、风险和下一步任务安排。,2026-01-16 16:45:00
69,4,项目进度管理平台第69次项目会议,2026-03-11 11:00:00,60,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2026-03-11 11:00:00
70,2,设备使用监控系统第70次项目会议,2026-03-03 10:15:00,30,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2026-03-03 10:15:00
71,7,实验室资源调度系统第71次项目会议,2026-05-24 09:45:00,45,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-05-24 09:45:00
72,12,数据查询 Agent 平台第72次项目会议,2026-06-27 15:45:00,30,讨论数据查询 Agent 平台当前进展、风险和下一步任务安排。,2026-06-27 15:45:00
73,7,实验室资源调度系统第73次项目会议,2026-02-24 11:00:00,60,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-02-24 11:00:00
74,7,实验室资源调度系统第74次项目会议,2026-05-16 09:15:00,90,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-05-16 09:15:00
75,4,项目进度管理平台第75次项目会议,2026-02-10 09:45:00,90,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2026-02-10 09:45:00
76,1,科研工效分析平台第76次项目会议,2026-02-05 16:15:00,30,讨论科研工效分析平台当前进展、风险和下一步任务安排。,2026-02-05 16:15:00
77,6,数据质量监控平台第77次项目会议,2026-02-13 15:00:00,60,讨论数据质量监控平台当前进展、风险和下一步任务安排。,2026-02-13 15:00:00
78,9,知识库问答系统第78次项目会议,2026-05-23 14:45:00,120,讨论知识库问答系统当前进展、风险和下一步任务安排。,2026-05-23 14:45:00
79,8,任务协同分析平台第79次项目会议,2026-04-06 14:30:00,60,讨论任务协同分析平台当前进展、风险和下一步任务安排。,2026-04-06 14:30:00
80,7,实验室资源调度系统第80次项目会议,2026-04-13 16:30:00,90,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-04-13 16:30:00
81,11,用户行为分析系统第81次项目会议,2026-06-15 16:45:00,60,讨论用户行为分析系统当前进展、风险和下一步任务安排。,2026-06-15 16:45:00
82,8,任务协同分析平台第82次项目会议,2026-03-04 09:00:00,90,讨论任务协同分析平台当前进展、风险和下一步任务安排。,2026-03-04 09:00:00
83,4,项目进度管理平台第83次项目会议,2026-04-25 10:00:00,60,讨论项目进度管理平台当前进展、风险和下一步任务安排。,2026-04-25 10:00:00
84,2,设备使用监控系统第84次项目会议,2025-11-19 11:15:00,120,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2025-11-19 11:15:00
85,7,实验室资源调度系统第85次项目会议,2026-05-18 11:00:00,120,讨论实验室资源调度系统当前进展、风险和下一步任务安排。,2026-05-18 11:00:00
86,10,实时消息推送平台第86次项目会议,2026-05-20 13:00:00,30,讨论实时消息推送平台当前进展、风险和下一步任务安排。,2026-05-20 13:00:00
87,6,数据质量监控平台第87次项目会议,2026-01-05 16:30:00,120,讨论数据质量监控平台当前进展、风险和下一步任务安排。,2026-01-05 16:30:00
88,2,设备使用监控系统第88次项目会议,2026-03-22 11:30:00,30,讨论设备使用监控系统当前进展、风险和下一步任务安排。,2026-03-22 11:30:00
89,5,会议纪要结构化系统第89次项目会议,2026-03-11 09:00:00,90,讨论会议纪要结构化系统当前进展、风险和下一步任务安排。,2026-03-11 09:00:00
90,10,实时消息推送平台第90次项目会议,2026-03-04 15:30:00,30,讨论实时消息推送平台当前进展、风险和下一步任务安排。,2026-03-04 15:30:00
91,8,任务协同分析平台第91次项目会议,2026-04-23 16:45:00,60,讨论任务协同分析平台当前进展、风险和下一步任务安排。,2026-04-23 16:45:00
92,8,任务协同分析平台第92次项目会议,2026-04-08 12:00:00,60,讨论任务协同分析平台当前进展、风险和下一步任务安排。,2026-04-08 12:00:00
93,1,科研工效分析平台第93次项目会议,2025-11-30 15:00:00,30,讨论科研工效分析平台当前进展、风险和下一步任务安排。,2025-11-30 15:00:00
